dataset,policy,view_role,view,task,model,split_type,n_train,n_val,n_test,n_features,seed,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,training_time_seconds,inference_time_per_sample_seconds,feature_family
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Logistic Regression,random_stratified,4794.0,1027.0,1028.0,1,42,ok,0.796692607003891,0.825923222142417,0.8256765236489136,0.7966924146205986,0.7966554770284389,0.892956310298847,0.9094878880307763,0.01023630000418052,1.7469844319730824e-06,packet_count_only
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Random Forest,random_stratified,4794.0,1027.0,1028.0,1,42,ok,0.8764591439688716,0.8778009971720292,0.8913836379323868,0.8755261649996234,0.8775388836748556,0.8951702094281905,0.9094708665383286,0.240246000001207,2.948132294951757e-05,packet_count_only
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Extra Trees,random_stratified,4794.0,1027.0,1028.0,1,42,ok,0.8754863813229572,0.8774460802132558,0.8909404659188956,0.8746088196167672,0.8765680271468659,0.8953800298062594,0.9099653467901165,0.14408729999559,4.814445524787211e-05,packet_count_only
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,4794.0,1027.0,1028.0,1,42,ok,0.8764591439688716,0.8774032728800663,0.8910071378147306,0.8754834273244807,0.8775420822225363,0.8979116009098753,0.9150109466033514,0.4044714999909047,5.370233459230549e-06,packet_count_only
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Isolation Forest,random_stratified,4794.0,1027.0,1028.0,1,42,ok,0.8764591439688716,0.8774032728800663,0.8910071378147306,0.8754834273244807,0.8775420822225363,0.8930151384422308,0.9096207291921297,0.18061239999951795,8.787645914538397e-05,packet_count_only
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Logistic Regression,random_stratified,4794.0,1027.0,1028.0,5,42,ok,0.8472762645914397,0.8581975123106675,0.8682994744685858,0.8468994472496711,0.8483180537128,0.8932249588202996,0.9438891365751585,0.03073430000222288,3.0875486358665003e-06,byte_statistics_only
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Random Forest,random_stratified,4794.0,1027.0,1028.0,5,42,ok,0.8939688715953308,0.8905721990237687,0.9038787355871049,0.8925287472077634,0.8948523092448468,0.9185112557847673,0.9446953043712278,0.29301209999539424,3.2856517510102695e-05,byte_statistics_only
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Extra Trees,random_stratified,4794.0,1027.0,1028.0,5,42,ok,0.8929961089494164,0.8899528423478749,0.9034355635736135,0.8916160593792173,0.8939002793574777,0.9170621225194132,0.9417600835480908,0.14424430001236033,3.555943579721022e-05,byte_statistics_only
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,4794.0,1027.0,1028.0,5,42,ok,0.8959143968871596,0.8925216276591306,0.9058945799670561,0.8945006968002815,0.8967816246715469,0.9290042356263237,0.9607524446422373,0.8184048999974038,7.504571981955472e-06,byte_statistics_only
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Isolation Forest,random_stratified,4794.0,1027.0,1028.0,5,42,ok,0.8881322957198443,0.8837184111407146,0.8959487018589694,0.8863425509761639,0.889006357106293,0.9286395011373441,0.9561125903109983,0.18898890000127722,6.199922179463519e-05,byte_statistics_only
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Logistic Regression,random_stratified,4794.0,1027.0,1028.0,4,42,ok,0.769455252918288,0.8115488960643698,0.8031022040944388,0.7692454132937054,0.7679457614253238,0.8918346536983294,0.8918987648726412,0.019443700002739206,1.7029182883051988e-06,iat_statistics_only
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Random Forest,random_stratified,4794.0,1027.0,1028.0,4,42,ok,0.8715953307392996,0.8739793677003015,0.8872852772766491,0.8707322277771004,0.8727050345478415,0.8969821162444114,0.9140166965583336,0.25256009999429807,2.8799319060443237e-05,iat_statistics_only
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Extra Trees,random_stratified,4794.0,1027.0,1028.0,4,42,ok,0.8706225680933852,0.8732231930825256,0.8864656051455015,0.8697736440310697,0.8717374201752212,0.8943152404110127,0.9108148315035174,0.1199586000002455,2.675184823814073e-05,iat_statistics_only
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,4794.0,1027.0,1028.0,4,42,ok,0.8735408560311284,0.8750851846803871,0.888548121421288,0.8726073362312208,0.8746441067037461,0.8986626402070751,0.919005824757903,0.5315381000109483,6.063229579126086e-06,iat_statistics_only
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Isolation Forest,random_stratified,4794.0,1027.0,1028.0,4,42,ok,0.8764591439688716,0.8774032728800663,0.8910071378147306,0.8754834273244807,0.8775420822225363,0.8909914503098283,0.9016734965871273,0.14930180000374094,5.308073929885623e-05,iat_statistics_only
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Logistic Regression,random_stratified,4794.0,1027.0,1028.0,3,42,ok,0.8570038910505836,0.863429591236164,0.8753666954270923,0.8563938819437515,0.8581419677424347,0.88831084790964,0.9352786542513232,0.015476500004297122,1.6500972707824716e-06,rate_features_only
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Random Forest,random_stratified,4794.0,1027.0,1028.0,3,42,ok,0.892023346303502,0.8886227703884066,0.9018628912071536,0.8905567976152453,0.8929229938181467,0.9128814024629384,0.9359339008005669,0.1946128999989014,2.1974708178761896e-05,rate_features_only
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Extra Trees,random_stratified,4794.0,1027.0,1028.0,3,42,ok,0.8929961089494164,0.8894848645778014,0.9026825633383011,0.8915179051098252,0.8938830312531709,0.9149148952859046,0.9406628058354478,0.11669860000256449,2.3443093390887104e-05,rate_features_only
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,4794.0,1027.0,1028.0,3,42,ok,0.8881322957198443,0.8854653343791563,0.8989607028002196,0.8867640790601667,0.8890888365704155,0.9234332104478784,0.9525901823240686,0.5568124999990687,7.068579770753283e-06,rate_features_only
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Isolation Forest,random_stratified,4794.0,1027.0,1028.0,3,42,ok,0.892023346303502,0.8888570832780421,0.9022393913248098,0.8906063206131752,0.8929316961049935,0.923786179308181,0.9463930639939122,0.175061400004779,7.40428015672156e-05,rate_features_only
MQTTEEB-D_flow_5s,,strict,,,,,,,,0,42,skipped_no_features,,,,,,,,,,tcp_flags_only
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Logistic Regression,random_stratified,4794.0,1027.0,1028.0,14,42,ok,0.8793774319066148,0.880127186009539,0.8938426543258294,0.8784035409035409,0.8804360090838689,0.9060220409443878,0.9522122441006717,0.06655319999845233,2.917217887740524e-06,all_metadata
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Random Forest,random_stratified,4794.0,1027.0,1028.0,14,42,ok,0.8939688715953308,0.8903502282117532,0.9035022354694486,0.8924792470898907,0.894842948784473,0.9186504823907757,0.9453167001139806,0.30781610000121873,4.106215953261588e-05,all_metadata
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Extra Trees,random_stratified,4794.0,1027.0,1028.0,14,42,ok,0.892023346303502,0.8888570832780421,0.9022393913248098,0.8906063206131752,0.8929316961049935,0.9215546317358222,0.9510252569785866,0.16835859999991953,3.473356030727393e-05,all_metadata
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,4794.0,1027.0,1028.0,14,42,ok,0.8939688715953308,0.8903502282117532,0.9035022354694486,0.8924792470898907,0.894842948784473,0.927798258686956,0.9605402696153202,1.0252221999980975,6.13132294492546e-06,all_metadata
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Isolation Forest,random_stratified,4794.0,1027.0,1028.0,14,42,ok,0.8939688715953308,0.8905721990237687,0.9038787355871049,0.8925287472077634,0.8948523092448468,0.9276198133186916,0.9500438252774835,0.15908139999373816,6.388871594939602e-05,all_metadata
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Logistic Regression,random_stratified,4794.0,1027.0,1028.0,9,42,ok,0.8647859922178989,0.8692176451631248,0.8819240724762727,0.8640624301366395,0.8659147490646631,0.9057200564750177,0.9511939841913677,0.03532039999845438,1.9887159499231044e-06,all_without_byte_stats
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Random Forest,random_stratified,4794.0,1027.0,1028.0,9,42,ok,0.8891050583657587,0.8860558916738692,0.899403874813711,0.8876748251748252,0.8900421076977497,0.9188544199545062,0.9458294379900887,0.24857490000431426,2.620642023115303e-05,all_without_byte_stats
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Extra Trees,random_stratified,4794.0,1027.0,1028.0,9,42,ok,0.8900778210116731,0.8871548505694847,0.9006000470625147,0.8886847796818388,0.8910105530325189,0.9217703349282296,0.951498744632203,0.12131040000531357,2.6819941632251222e-05,all_without_byte_stats
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,4794.0,1027.0,1028.0,9,42,ok,0.8881322957198443,0.8857355542843721,0.8993372029178759,0.8868126491795305,0.8890952810330465,0.9300180406306376,0.9610432859943889,0.7720482000004267,7.826556420589685e-06,all_without_byte_stats
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Isolation Forest,random_stratified,4794.0,1027.0,1028.0,9,42,ok,0.8910505836575876,0.8885201182086838,0.9021727194289748,0.8897418218034169,0.8919854135534238,0.9238136324417601,0.9411518389840786,0.16292149999935646,6.258764591238802e-05,all_without_byte_stats
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Logistic Regression,random_stratified,4794.0,1027.0,1028.0,10,42,ok,0.8793774319066148,0.8797465479651163,0.8934661542081732,0.8783603766599105,0.8804377660999871,0.9048572437053886,0.9510533004742611,0.03886359999887645,1.8386186773441225e-06,all_without_iat
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Random Forest,random_stratified,4794.0,1027.0,1028.0,10,42,ok,0.8949416342412452,0.8914346407708065,0.9046984077182524,0.893490306835101,0.8958124306849314,0.9206310298846968,0.948759068575176,0.22494310000911355,2.6633949413671837e-05,all_without_iat
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Extra Trees,random_stratified,4794.0,1027.0,1028.0,10,42,ok,0.8929961089494164,0.8897130202645309,0.9030590634559573,0.8915674203632318,0.8938920661983794,0.9201937406855438,0.948051918629242,0.12309709998953622,2.6183852135789933e-05,all_without_iat
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,4794.0,1027.0,1028.0,10,42,ok,0.8959143968871596,0.8923003668840654,0.9055180798494,0.8944521049414523,0.8967724359627397,0.9281237744136795,0.9600208065096445,0.6694313000043621,5.808463041554658e-06,all_without_iat
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Isolation Forest,random_stratified,4794.0,1027.0,1028.0,10,42,ok,0.8929961089494164,0.8894848645778014,0.9026825633383011,0.8915179051098252,0.8938830312531709,0.9263569691740529,0.9514493909013234,0.1612079999904381,6.400671206502577e-05,all_without_iat
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Logistic Regression,random_stratified,4794.0,1027.0,1028.0,11,42,ok,0.8706225680933852,0.8736660466490638,0.8868421052631579,0.8698143156263003,0.8717301733260572,0.8965232567260177,0.9472642508199163,0.04482619999907911,1.8881322908421782e-06,all_without_rate
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Random Forest,random_stratified,4794.0,1027.0,1028.0,11,42,ok,0.8939688715953308,0.8903502282117532,0.9035022354694486,0.8924792470898907,0.894842948784473,0.9191956231861322,0.9458123135951605,0.21886069999891333,2.5989105057511262e-05,all_without_rate
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Extra Trees,random_stratified,4794.0,1027.0,1028.0,11,42,ok,0.892023346303502,0.8888570832780421,0.9022393913248098,0.8906063206131752,0.8929316961049935,0.9184269354459172,0.9448261618976598,0.11481579999963287,2.1680058366283848e-05,all_without_rate
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,4794.0,1027.0,1028.0,11,42,ok,0.8949416342412452,0.8912188828172435,0.9043219076005962,0.8934408292542471,0.895802751856736,0.9287924543101419,0.9606633587627151,0.7696203999948921,6.961867702805079e-06,all_without_rate
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Isolation Forest,random_stratified,4794.0,1027.0,1028.0,11,42,ok,0.8929961089494164,0.8897130202645309,0.9030590634559573,0.8915674203632318,0.8938920661983794,0.9286453839516824,0.9527477713371025,0.15981969999847934,7.190836575332982e-05,all_without_rate
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Logistic Regression,random_stratified,181565.0,38907.0,38907.0,3,42,ok,0.8356593929113013,0.9075206194304977,0.6998707138253665,0.7347566705075934,0.8087906844827605,0.9659028291797238,0.8886174256837425,0.20682000000670087,9.613694164548755e-08,packet_count_only
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Random Forest,random_stratified,181565.0,38907.0,38907.0,3,42,ok,0.9580024160176832,0.9341082022177345,0.9695071145277725,0.9493496955416114,0.9588235124324886,0.9830007106137313,0.9218831614058145,1.5991298999870196,1.5074947954802023e-06,packet_count_only
