train_dataset,test_dataset,policy,view_role,task,model,status,n_train,n_val,n_test,n_features,seed,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,training_time_seconds,inference_time_per_sample_seconds,features
MQTTEEB-D_flow_1s,MQTT-IoT-IDS2020,audited_metadata_main,strict,binary,Logistic Regression,ok,11840,2537,259379,14,42,0.16308953307708027,0.19210213069533966,0.23833563306038663,0.16022305324126307,0.13802041343073684,0.4115400808520185,0.49698312969370156,0.137532699998701,5.146735086152438e-07,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTTEEB-D_flow_1s,MQTT-IoT-IDS2020,audited_metadata_main,strict,binary,Random Forest,ok,11840,2537,259379,14,42,0.2761595965748962,0.6364067350822614,0.5016651276319449,0.2186484598731597,0.1227200146175149,0.9259957916323743,0.7340899628647672,0.42637299999478273,9.835244950201823e-07,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTTEEB-D_flow_1s,MQTT-IoT-IDS2020,audited_metadata_main,strict,binary,Extra Trees,ok,11840,2537,259379,14,42,0.926320172411799,0.8939597389914773,0.9492748622450604,0.9139728606260908,0.9287215062967303,0.9436827743204321,0.8016102788021655,0.17751819999830332,1.0669984848412324e-06,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTTEEB-D_flow_1s,MQTT-IoT-IDS2020,audited_metadata_main,strict,binary,HistGradientBoostingClassifier,ok,11840,2537,259379,14,42,0.1236684542696209,0.10068024872526736,0.21300387363617354,0.11463287915812415,0.07415779234126522,0.4094106835562608,0.4829572570329836,0.708753799990518,8.11040986326581e-07,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTTEEB-D_flow_1s,MQTT-IoT-IDS2020,audited_metadata_main,strict,binary,Isolation Forest,ok,11840,2537,259379,14,42,0.273734573731875,0.1368672868659375,0.5,0.21490707669955808,0.11765499406463378,0.436536288377255,0.5472633970412373,0.17159809998702258,3.4129458051736235e-05,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTT-IoT-IDS2020,MQTTEEB-D_flow_1s,audited_metadata_main,strict,binary,Logistic Regression,ok,181565,38907,16915,14,42,0.28182086905113807,0.590492516892873,0.5518557527508964,0.27569968473650963,0.23433937374371194,0.43891235346816415,0.8436604657300718,1.9798413999960758,5.541058235749175e-07,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTT-IoT-IDS2020,MQTTEEB-D_flow_1s,audited_metadata_main,strict,binary,Random Forest,ok,181565,38907,16915,14,42,0.26940585279337864,0.5931973631981204,0.5462306616401295,0.26104722460791474,0.21222893314339591,0.9052924804719067,0.9593938681210327,2.215848099993309,3.2330653265431334e-06,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTT-IoT-IDS2020,MQTTEEB-D_flow_1s,audited_metadata_main,strict,binary,Extra Trees,ok,181565,38907,16915,14,42,0.6782146024238841,0.6728865996854834,0.7814189760429104,0.6416977767408564,0.7127500521948513,0.889696286213599,0.9572909684597393,0.8266673000034643,3.3038368314684117e-06,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTT-IoT-IDS2020,MQTTEEB-D_flow_1s,audited_metadata_main,strict,binary,HistGradientBoostingClassifier,ok,181565,38907,16915,14,42,0.49352645580845406,0.614889945461711,0.6646257399605608,0.48378191317311303,0.5278378122563863,0.5643054329742988,0.8804508962029846,2.9493534000066575,1.7309547736103823e-06,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTT-IoT-IDS2020,MQTTEEB-D_flow_1s,audited_metadata_main,strict,binary,Isolation Forest,ok,181565,38907,16915,14,42,0.810582323381614,0.405291161690807,0.5,0.44769150395089136,0.725781638861445,0.870567794104645,0.9633422408054509,0.6309887999959756,2.349456104101955e-05,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTTEEB-D_flow_5s,MQTT-IoT-IDS2020,audited_metadata_main,strict,binary,Logistic Regression,ok,4794,1027,259379,14,42,0.1618712386122238,0.19118719870525563,0.23542579730379953,0.15923431569727825,0.13792672234827907,0.20844184655857734,0.19812107415846525,0.069623599993065,5.712706117279215e-07,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTTEEB-D_flow_5s,MQTT-IoT-IDS2020,audited_metadata_main,strict,binary,Random Forest,ok,4794,1027,259379,14,42,0.2791937666503456,0.5777473920183027,0.5027842831817704,0.22405833727177382,0.1304578499463284,0.9860020283542802,0.9505088047622735,0.3215102999965893,1.069820609995642e-06,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTTEEB-D_flow_5s,MQTT-IoT-IDS2020,audited_metadata_main,strict,binary,Extra Trees,ok,4794,1027,259379,14,42,0.27359578069157486,0.13681687957646824,0.49974648244390923,0.21482151938585234,0.11760815407504001,0.9484547155634776,0.8788721634761809,0.17630120000103489,9.443235574243622e-07,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTTEEB-D_flow_5s,MQTT-IoT-IDS2020,audited_metadata_main,strict,binary,HistGradientBoostingClassifier,ok,4794,1027,259379,14,42,0.31252337313352274,0.6231084841488433,0.5248964644322288,0.2734979735557694,0.1973005498043893,0.3993711119916865,0.46544702338855765,0.9007677000045078,1.0142925988912733e-06,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTTEEB-D_flow_5s,MQTT-IoT-IDS2020,audited_metadata_main,strict,binary,Isolation Forest,ok,4794,1027,259379,14,42,0.273734573731875,0.1368672868659375,0.5,0.21490707669955808,0.11765499406463378,0.43492935816324424,0.572239071240223,0.19131969999580178,3.458019076327812e-05,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTT-IoT-IDS2020,MQTTEEB-D_flow_5s,audited_metadata_main,strict,binary,Logistic Regression,ok,181565,38907,6849,14,42,0.4683895459191123,0.7075497386907557,0.5513712642417131,0.39745257736370304,0.3589654986793852,0.4811500412426901,0.7196343191324114,2.1352371999964816,7.077967578581655e-07,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTT-IoT-IDS2020,MQTTEEB-D_flow_5s,audited_metadata_main,strict,binary,Random Forest,ok,181565,38907,6849,14,42,0.4307198131114031,0.6966748632587758,0.5198387586595075,0.3334825645454944,0.2860905569302292,0.8990507202940006,0.9251798649906148,2.4042896999890218,7.3776463723031255e-06,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTT-IoT-IDS2020,MQTTEEB-D_flow_5s,audited_metadata_main,strict,binary,Extra Trees,ok,181565,38907,6849,14,42,0.7325156957220033,0.7933860669425936,0.7720738934035899,0.731244698733865,0.7278041017914522,0.8815098128276161,0.9167633900854781,0.9763271999981953,9.421550589806027e-06,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTT-IoT-IDS2020,MQTTEEB-D_flow_5s,audited_metadata_main,strict,binary,HistGradientBoostingClassifier,ok,181565,38907,6849,14,42,0.6557161629434954,0.7579084967320262,0.7070459015507217,0.6484146863307843,0.6389826876669474,0.8291923693691449,0.8786449800336685,3.185965699987719,2.677763176387496e-06,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTT-IoT-IDS2020,MQTTEEB-D_flow_5s,audited_metadata_main,strict,binary,Isolation Forest,ok,181565,38907,6849,14,42,0.5930792816469558,0.2965396408234779,0.5,0.37228485015122353,0.44158886299146444,0.8475727497558916,0.8922450588711568,0.6398856000014348,3.447087165992856e-05,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTTEEB-D_flow_10s,MQTT-IoT-IDS2020,audited_metadata_main,strict,binary,Logistic Regression,ok,3556,762,259379,14,42,0.1532776362003092,0.1731597580147386,0.2315805979713635,0.1493167192849824,0.12304853776227985,0.043840547968151435,0.17460995978836202,0.07962199999019504,4.6802169801416244e-07,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTTEEB-D_flow_10s,MQTT-IoT-IDS2020,audited_metadata_main,strict,binary,Random Forest,ok,3556,762,259379,14,42,0.21951275932130204,0.11663310818725425,0.40088454683868585,0.18004994029511862,0.09864777680925095,0.5370786911355726,0.4754777450458689,0.29296390000672545,1.0974107387056624e-06,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTTEEB-D_flow_10s,MQTT-IoT-IDS2020,audited_metadata_main,strict,binary,Extra Trees,ok,3556,762,259379,14,42,0.273734573731875,0.1368672868659375,0.5,0.21490707669955808,0.11765499406463378,0.6149913274212162,0.6352607292783219,0.15959339999244548,1.0195235543076056e-06,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTTEEB-D_flow_10s,MQTT-IoT-IDS2020,audited_metadata_main,strict,binary,HistGradientBoostingClassifier,ok,3556,762,259379,14,42,0.2736690325739555,0.13684348516744935,0.4998802833762905,0.21486667695837608,0.11763287645277112,0.07188422993179687,0.2096867811690803,1.4769304000074044,1.3198709225149321e-06,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTTEEB-D_flow_10s,MQTT-IoT-IDS2020,audited_metadata_main,strict,binary,Isolation Forest,ok,3556,762,259379,14,42,0.273734573731875,0.1368672868659375,0.5,0.21490707669955808,0.11765499406463378,0.4275247256263766,0.568121447041273,0.16504810001060832,3.338561333034175e-05,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTT-IoT-IDS2020,MQTTEEB-D_flow_10s,audited_metadata_main,strict,binary,Logistic Regression,ok,181565,38907,5081,14,42,0.555992914780555,0.758054223789153,0.5641201081730546,0.4586035418714131,0.4543102748522166,0.5152376422142741,0.6926602124446487,2.241095799996401,7.685691804359865e-07,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTT-IoT-IDS2020,MQTTEEB-D_flow_10s,audited_metadata_main,strict,binary,Random Forest,ok,181565,38907,5081,14,42,0.7518205077740602,0.8271798693491281,0.7562651467385341,0.7387619660960696,0.7376699225578573,0.892748846693462,0.889530269905266,2.390335400006734,7.695276521702964e-06,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTT-IoT-IDS2020,MQTTEEB-D_flow_10s,audited_metadata_main,strict,binary,Extra Trees,ok,181565,38907,5081,14,42,0.7840976185790198,0.8394499940413829,0.787846774678528,0.7763786575354281,0.7756018553117616,0.9062094885772901,0.9121173707944755,0.7480858999915654,7.1208226731675e-06,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTT-IoT-IDS2020,MQTTEEB-D_flow_10s,audited_metadata_main,strict,binary,HistGradientBoostingClassifier,ok,181565,38907,5081,14,42,0.8210982090139737,0.8588418214627189,0.8241240853059355,0.8171783070317193,0.8166777819130174,0.8369416592114798,0.855688469976557,2.631456699993578,3.0134225540417393e-06,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTT-IoT-IDS2020,MQTTEEB-D_flow_10s,audited_metadata_main,strict,binary,Isolation Forest,ok,181565,38907,5081,14,42,0.5093485534343634,0.2546742767171817,0.5,0.337462511409571,0.34377208404958465,0.8887396301607408,0.8856590927763113,0.3953518000053009,2.0855579609800106e-05,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
