dataset,view,task,model,seed,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,train_time_seconds,inference_time_per_sample_ms,n_train,n_val,n_test,n_features,features,stability_combo
MQTTEEB-D_flow_5s,strict_encrypted_flow_metadata,binary,Random Forest,42,ok,0.8939688715953308,0.8903502282117532,0.9035022354694486,0.8924792470898907,0.894842948784473,0.9191564044238765,0.945898507260104,0.4105707999988226,0.08152101167891236,4794.0,1027.0,1028.0,14.0,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]",MQTTEEB-D strict 5s binary
MQTTEEB-D_flow_5s,strict_encrypted_flow_metadata,binary,Random Forest,7,ok,0.877431906614786,0.8778009932170543,0.8914503098282218,0.8763984472511994,0.8785093429725676,0.9138834418385756,0.9517051659913296,0.39274689999001566,0.0816481517622626,4794.0,1027.0,1028.0,14.0,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]",MQTTEEB-D strict 5s binary
MQTTEEB-D_flow_5s,strict_encrypted_flow_metadata,binary,Random Forest,13,ok,0.8842412451361867,0.8837092665422599,0.8975645148639109,0.8831576061884481,0.8852592089961836,0.9171052631578948,0.9516322357162832,0.4137985999986995,0.08919513617879585,4794.0,1027.0,1028.0,14.0,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]",MQTTEEB-D strict 5s binary
MQTTEEB-D_flow_5s,strict_encrypted_flow_metadata,binary,Random Forest,21,ok,0.8803501945525292,0.8791487315774928,0.8927798258686956,0.8791368556885797,0.881398613570893,0.9234371323241037,0.9530665857478869,0.3945848000003025,0.08447363812762679,4794.0,1027.0,1028.0,14.0,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]",MQTTEEB-D strict 5s binary
MQTTEEB-D_flow_5s,strict_encrypted_flow_metadata,binary,Random Forest,100,ok,0.8871595330739299,0.8854886102023507,0.8992705310220409,0.8859468910083516,0.8881433747497766,0.9277708055533767,0.9555309667742616,0.3869150999962585,0.08709961089807479,4794.0,1027.0,1028.0,14.0,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]",MQTTEEB-D strict 5s binary
MQTTEEB-D,broker_side_secure_mqtt_metadata,binary,HistGradientBoosting,42,ok,0.8428083627867968,0.6269591647414142,0.7614132127734887,0.6548900604204315,0.8693683371673652,0.8153046524200859,0.9749894952773849,2.6102031000045827,0.005549490804482894,155796.0,33385.0,33386.0,9.0,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]",MQTTEEB-D broker binary
MQTTEEB-D,broker_side_secure_mqtt_metadata,binary,HistGradientBoosting,7,ok,0.8438866590786557,0.6296869062738356,0.7682469257575435,0.6584498770942058,0.8704056265185458,0.8230953748487916,0.9758550308003275,3.07229740000912,0.0054396124121063845,155796.0,33385.0,33386.0,9.0,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]",MQTTEEB-D broker binary
MQTTEEB-D,broker_side_secure_mqtt_metadata,binary,HistGradientBoosting,13,ok,0.8483795602947343,0.6331474138012544,0.7698179602445251,0.6630563841514132,0.8735134547006016,0.8184785112160913,0.975024740608154,3.1866821000003256,0.005150952495298888,155796.0,33385.0,33386.0,9.0,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]",MQTTEEB-D broker binary
MQTTEEB-D,broker_side_secure_mqtt_metadata,binary,HistGradientBoosting,21,ok,0.8484993709938298,0.6330961758432501,0.7693622978982125,0.6629898384922237,0.8735734894764853,0.8208635132940961,0.9752253035949083,3.118681199994171,0.00495805427410748,155796.0,33385.0,33386.0,9.0,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]",MQTTEEB-D broker binary
MQTTEEB-D,broker_side_secure_mqtt_metadata,binary,HistGradientBoosting,100,ok,0.8447253339723237,0.6306737617071158,0.7697435782337274,0.6597588641322752,0.8710396245711151,0.8240307363505491,0.9762162319414819,3.1570465000113472,0.005358260947339942,155796.0,33385.0,33386.0,9.0,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]",MQTTEEB-D broker binary
IoT-23,strict_encrypted_flow_metadata,binary,Random Forest,42,ok,0.9848845512973101,0.9909659980082515,0.9576666666666667,0.9733394883434624,0.9846193635608048,0.975617791944364,0.991252451895055,1.2214964000013424,0.024461175911679425,39206.0,8401.0,8402.0,28.0,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second""]",IoT-23 strict binary
IoT-23,strict_encrypted_flow_metadata,binary,Random Forest,7,ok,0.9825041656748393,0.9886733308697534,0.9517826716893654,0.969021004041887,0.9821611879028301,0.9739907273254129,0.9907970479080108,1.22367760000634,0.017193263507937186,39206.0,8401.0,8402.0,28.0,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second""]",IoT-23 strict binary
IoT-23,strict_encrypted_flow_metadata,binary,Random Forest,13,ok,0.9826231849559629,0.9887436933023707,0.9521160050226987,0.9692402978547556,0.982285111301295,0.9730377668308703,0.9907237973853078,1.0051130000065314,0.019044763150968997,39206.0,8401.0,8402.0,28.0,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second""]",IoT-23 strict binary
IoT-23,strict_encrypted_flow_metadata,binary,Random Forest,21,ok,0.9850035705784337,0.9895729519633247,0.9593044528156089,0.9736294777368597,0.9847644631537105,0.9820811841978171,0.9931509612519123,0.9677421000087634,0.017486800760151237,39206.0,8401.0,8402.0,28.0,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second""]",IoT-23 strict binary
IoT-23,strict_encrypted_flow_metadata,binary,Random Forest,100,ok,0.9847655320161867,0.9906008115593355,0.9575942238964552,0.9731369842552058,0.9845004819044133,0.9772491065391674,0.9919758143643461,1.0792168000043603,0.020255474886011555,39206.0,8401.0,8402.0,28.0,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second""]",IoT-23 strict binary
MQTTEEB-D_flow_1s,strict_encrypted_flow_metadata,binary_external,Logistic Regression,42,ok,0.5110785766573229,0.6077688829749556,0.669769495098785,0.49398912374425974,0.5537748140140056,0.6738298495946443,0.869661947272835,,,,,,,,MQTTEEB-D to IoT-23 external validation
MQTTEEB-D_flow_1s,strict_encrypted_flow_metadata,binary_external,Logistic Regression,7,ok,0.5107750540091771,0.6070730732837062,0.6687629648547023,0.493588903001446,0.5535672041874697,0.6731710904388272,0.8694119797352513,,,,,,,,MQTTEEB-D to IoT-23 external validation
MQTTEEB-D_flow_1s,strict_encrypted_flow_metadata,binary_external,Logistic Regression,13,ok,0.5110071595636415,0.6077798960594325,0.6697651579038884,0.4939358265225289,0.5536929599411571,0.673644228303158,0.8695631608492863,,,,,,,,MQTTEEB-D to IoT-23 external validation
MQTTEEB-D_flow_1s,strict_encrypted_flow_metadata,binary_external,Logistic Regression,21,ok,0.5110785766573229,0.6077394571361547,0.6697303625377643,0.4939822496567968,0.5537803690314392,0.6733523962702949,0.8694066084793358,,,,,,,,MQTTEEB-D to IoT-23 external validation
MQTTEEB-D_flow_1s,strict_encrypted_flow_metadata,binary_external,Logistic Regression,100,ok,0.5110250138370619,0.6078139363256925,0.6698151579038883,0.49395773867630394,0.553706475917577,0.673691439718316,0.8694082287121752,,,,,,,,MQTTEEB-D to IoT-23 external validation
