dataset,policy,view_role,view,status,source_file,n_features,included_features,excluded_hard_leakage_features,excluded_analysis_parameter_features,excluded_conservative_only_features,notes
MQTTEEB-D,audited_metadata_main,full,full_audited_metadata_main,ok,data/processed/MQTTEEB-D__view__full_audited_metadata_main.parquet,9,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]","[""binary_label"", ""multiclass_label""]",[],[],Main policy: hard leakage and sensitive content removed; legitimate encrypted-flow metadata retained.
MQTTEEB-D,audited_metadata_main,broker,broker_audited_metadata_main,ok,data/processed/MQTTEEB-D__view__broker_audited_metadata_main.parquet,9,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]","[""binary_label"", ""multiclass_label""]",[],[],Main policy: hard leakage and sensitive content removed; legitimate encrypted-flow metadata retained.
MQTTEEB-D,audited_metadata_main,strict,strict_audited_metadata_main,weak_view,data/processed/MQTTEEB-D__view__strict_audited_metadata_main.parquet,2,"[""tcp_flags"", ""tcp_len""]","[""binary_label"", ""multiclass_label""]",[],[],Main policy: hard leakage and sensitive content removed; legitimate encrypted-flow metadata retained.
MQTTEEB-D,conservative_anti_leakage,full,full_conservative_anti_leakage,ok,data/processed/MQTTEEB-D__view__full_conservative_anti_leakage.parquet,9,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]","[""binary_label"", ""multiclass_label""]",[],[],Sensitivity policy: hard leakage removed plus single-feature Macro F1 > 0.90 metadata removed.
MQTTEEB-D,conservative_anti_leakage,broker,broker_conservative_anti_leakage,ok,data/processed/MQTTEEB-D__view__broker_conservative_anti_leakage.parquet,9,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]","[""binary_label"", ""multiclass_label""]",[],[],Sensitivity policy: hard leakage removed plus single-feature Macro F1 > 0.90 metadata removed.
MQTTEEB-D,conservative_anti_leakage,strict,strict_conservative_anti_leakage,weak_view,data/processed/MQTTEEB-D__view__strict_conservative_anti_leakage.parquet,2,"[""tcp_flags"", ""tcp_len""]","[""binary_label"", ""multiclass_label""]",[],[],Sensitivity policy: hard leakage removed plus single-feature Macro F1 > 0.90 metadata removed.
MQTT-IoT-IDS2020,audited_metadata_main,full,full_audited_metadata_main,ok,data/processed/MQTT-IoT-IDS2020__view__full_audited_metadata_main.parquet,42,"[""prt_src"", ""prt_dst"", ""proto"", ""fwd_num_pkts"", ""bwd_num_pkts"", ""fwd_mean_iat"", ""bwd_mean_iat"", ""fwd_std_iat"", ""bwd_std_iat"", ""fwd_min_iat"", ""bwd_min_iat"", ""fwd_max_iat"", ""bwd_max_iat"", ""fwd_mean_pkt_len"", ""bwd_mean_pkt_len"", ""fwd_std_pkt_len"", ""bwd_std_pkt_len"", ""fwd_min_pkt_len"", ""bwd_min_pkt_len"", ""fwd_max_pkt_len"", ""bwd_max_pkt_len"", ""fwd_num_bytes"", ""bwd_num_bytes"", ""fwd_num_psh_flags"", ""bwd_num_psh_flags"", ""fwd_num_rst_flags"", ""bwd_num_rst_flags"", ""fwd_num_urg_flags"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""iat_mean"", ""iat_std"", ""byte_min"", ""iat_min"", ""byte_max"", ""iat_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""burstiness""]","[""binary_label"", ""multiclass_label""]",[],[],Main policy: hard leakage and sensitive content removed; legitimate encrypted-flow metadata retained.
MQTT-IoT-IDS2020,audited_metadata_main,broker,broker_audited_metadata_main,ok,data/processed/MQTT-IoT-IDS2020__view__broker_audited_metadata_main.parquet,42,"[""prt_src"", ""prt_dst"", ""proto"", ""fwd_num_pkts"", ""bwd_num_pkts"", ""fwd_mean_iat"", ""bwd_mean_iat"", ""fwd_std_iat"", ""bwd_std_iat"", ""fwd_min_iat"", ""bwd_min_iat"", ""fwd_max_iat"", ""bwd_max_iat"", ""fwd_mean_pkt_len"", ""bwd_mean_pkt_len"", ""fwd_std_pkt_len"", ""bwd_std_pkt_len"", ""fwd_min_pkt_len"", ""bwd_min_pkt_len"", ""fwd_max_pkt_len"", ""bwd_max_pkt_len"", ""fwd_num_bytes"", ""bwd_num_bytes"", ""fwd_num_psh_flags"", ""bwd_num_psh_flags"", ""fwd_num_rst_flags"", ""bwd_num_rst_flags"", ""fwd_num_urg_flags"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""iat_mean"", ""iat_std"", ""byte_min"", ""iat_min"", ""byte_max"", ""iat_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""burstiness""]","[""binary_label"", ""multiclass_label""]",[],[],Main policy: hard leakage and sensitive content removed; legitimate encrypted-flow metadata retained.
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,ok,data/processed/MQTT-IoT-IDS2020__view__strict_audited_metadata_main.parquet,42,"[""prt_src"", ""prt_dst"", ""proto"", ""fwd_num_pkts"", ""bwd_num_pkts"", ""fwd_mean_iat"", ""bwd_mean_iat"", ""fwd_std_iat"", ""bwd_std_iat"", ""fwd_min_iat"", ""bwd_min_iat"", ""fwd_max_iat"", ""bwd_max_iat"", ""fwd_mean_pkt_len"", ""bwd_mean_pkt_len"", ""fwd_std_pkt_len"", ""bwd_std_pkt_len"", ""fwd_min_pkt_len"", ""bwd_min_pkt_len"", ""fwd_max_pkt_len"", ""bwd_max_pkt_len"", ""fwd_num_bytes"", ""bwd_num_bytes"", ""fwd_num_psh_flags"", ""bwd_num_psh_flags"", ""fwd_num_rst_flags"", ""bwd_num_rst_flags"", ""fwd_num_urg_flags"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""iat_mean"", ""iat_std"", ""byte_min"", ""iat_min"", ""byte_max"", ""iat_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""burstiness""]","[""binary_label"", ""multiclass_label""]",[],[],Main policy: hard leakage and sensitive content removed; legitimate encrypted-flow metadata retained.
MQTT-IoT-IDS2020,conservative_anti_leakage,full,full_conservative_anti_leakage,ok,data/processed/MQTT-IoT-IDS2020__view__full_conservative_anti_leakage.parquet,14,"[""prt_src"", ""prt_dst"", ""proto"", ""fwd_min_iat"", ""bwd_min_iat"", ""bwd_mean_pkt_len"", ""bwd_std_pkt_len"", ""fwd_min_pkt_len"", ""bwd_min_pkt_len"", ""bwd_max_pkt_len"", ""fwd_num_rst_flags"", ""bwd_num_rst_flags"", ""fwd_num_urg_flags"", ""byte_min""]","[""binary_label"", ""multiclass_label""]",[],"[""burstiness"", ""bwd_max_iat"", ""bwd_mean_iat"", ""bwd_num_bytes"", ""bwd_num_pkts"", ""bwd_num_psh_flags"", ""bwd_std_iat"", ""byte_max"", ""byte_mean"", ""byte_std"", ""byte_sum"", ""bytes_per_second"", ""duration"", ""fwd_max_iat"", ""fwd_max_pkt_len"", ""fwd_mean_iat"", ""fwd_mean_pkt_len"", ""fwd_num_bytes"", ""fwd_num_pkts"", ""fwd_num_psh_flags"", ""fwd_std_iat"", ""fwd_std_pkt_len"", ""iat_max"", ""iat_mean"", ""iat_min"", ""iat_std"", ""packet_count"", ""packets_per_second""]",Sensitivity policy: hard leakage removed plus single-feature Macro F1 > 0.90 metadata removed.
MQTT-IoT-IDS2020,conservative_anti_leakage,broker,broker_conservative_anti_leakage,ok,data/processed/MQTT-IoT-IDS2020__view__broker_conservative_anti_leakage.parquet,14,"[""prt_src"", ""prt_dst"", ""proto"", ""fwd_min_iat"", ""bwd_min_iat"", ""bwd_mean_pkt_len"", ""bwd_std_pkt_len"", ""fwd_min_pkt_len"", ""bwd_min_pkt_len"", ""bwd_max_pkt_len"", ""fwd_num_rst_flags"", ""bwd_num_rst_flags"", ""fwd_num_urg_flags"", ""byte_min""]","[""binary_label"", ""multiclass_label""]",[],"[""burstiness"", ""bwd_max_iat"", ""bwd_mean_iat"", ""bwd_num_bytes"", ""bwd_num_pkts"", ""bwd_num_psh_flags"", ""bwd_std_iat"", ""byte_max"", ""byte_mean"", ""byte_std"", ""byte_sum"", ""bytes_per_second"", ""duration"", ""fwd_max_iat"", ""fwd_max_pkt_len"", ""fwd_mean_iat"", ""fwd_mean_pkt_len"", ""fwd_num_bytes"", ""fwd_num_pkts"", ""fwd_num_psh_flags"", ""fwd_std_iat"", ""fwd_std_pkt_len"", ""iat_max"", ""iat_mean"", ""iat_min"", ""iat_std"", ""packet_count"", ""packets_per_second""]",Sensitivity policy: hard leakage removed plus single-feature Macro F1 > 0.90 metadata removed.
MQTT-IoT-IDS2020,conservative_anti_leakage,strict,strict_conservative_anti_leakage,ok,data/processed/MQTT-IoT-IDS2020__view__strict_conservative_anti_leakage.parquet,14,"[""prt_src"", ""prt_dst"", ""proto"", ""fwd_min_iat"", ""bwd_min_iat"", ""bwd_mean_pkt_len"", ""bwd_std_pkt_len"", ""fwd_min_pkt_len"", ""bwd_min_pkt_len"", ""bwd_max_pkt_len"", ""fwd_num_rst_flags"", ""bwd_num_rst_flags"", ""fwd_num_urg_flags"", ""byte_min""]","[""binary_label"", ""multiclass_label""]",[],"[""burstiness"", ""bwd_max_iat"", ""bwd_mean_iat"", ""bwd_num_bytes"", ""bwd_num_pkts"", ""bwd_num_psh_flags"", ""bwd_std_iat"", ""byte_max"", ""byte_mean"", ""byte_std"", ""byte_sum"", ""bytes_per_second"", ""duration"", ""fwd_max_iat"", ""fwd_max_pkt_len"", ""fwd_mean_iat"", ""fwd_mean_pkt_len"", ""fwd_num_bytes"", ""fwd_num_pkts"", ""fwd_num_psh_flags"", ""fwd_std_iat"", ""fwd_std_pkt_len"", ""iat_max"", ""iat_mean"", ""iat_min"", ""iat_std"", ""packet_count"", ""packets_per_second""]",Sensitivity policy: hard leakage removed plus single-feature Macro F1 > 0.90 metadata removed.
IoT-23,audited_metadata_main,full,full_audited_metadata_main,ok,data/processed/IoT-23__view__full_audited_metadata_main.parquet,31,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second"", ""packet_count"", ""byte_sum"", ""byte_mean""]","[""binary_label"", ""multiclass_label"", ""source_file""]",[],[],Main policy: hard leakage and sensitive content removed; legitimate encrypted-flow metadata retained.
IoT-23,audited_metadata_main,broker,broker_audited_metadata_main,not_applicable,,0,[],"[""binary_label"", ""multiclass_label"", ""source_file""]",[],[],Main policy: hard leakage and sensitive content removed; legitimate encrypted-flow metadata retained.
IoT-23,audited_metadata_main,strict,strict_audited_metadata_main,ok,data/processed/IoT-23__view__strict_audited_metadata_main.parquet,31,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second"", ""packet_count"", ""byte_sum"", ""byte_mean""]","[""binary_label"", ""multiclass_label"", ""source_file""]",[],[],Main policy: hard leakage and sensitive content removed; legitimate encrypted-flow metadata retained.
IoT-23,conservative_anti_leakage,full,full_conservative_anti_leakage,ok,data/processed/IoT-23__view__full_conservative_anti_leakage.parquet,30,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second"", ""packet_count"", ""byte_sum"", ""byte_mean""]","[""binary_label"", ""multiclass_label"", ""source_file""]",[],"[""proto""]",Sensitivity policy: hard leakage removed plus single-feature Macro F1 > 0.90 metadata removed.
IoT-23,conservative_anti_leakage,broker,broker_conservative_anti_leakage,not_applicable,,0,[],"[""binary_label"", ""multiclass_label"", ""source_file""]",[],[],Sensitivity policy: hard leakage removed plus single-feature Macro F1 > 0.90 metadata removed.
IoT-23,conservative_anti_leakage,strict,strict_conservative_anti_leakage,ok,data/processed/IoT-23__view__strict_conservative_anti_leakage.parquet,30,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second"", ""packet_count"", ""byte_sum"", ""byte_mean""]","[""binary_label"", ""multiclass_label"", ""source_file""]",[],"[""proto""]",Sensitivity policy: hard leakage removed plus single-feature Macro F1 > 0.90 metadata removed.
MQTTEEB-D_flow_10s,audited_metadata_main,full,full_audited_metadata_main,ok,data/processed/MQTTEEB-D_flow_10s__view__full_audited_metadata_main.parquet,15,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness"", ""mixed_label_ratio""]","[""binary_label"", ""multiclass_label""]","[""window_seconds""]",[],Main policy: hard leakage and sensitive content removed; legitimate encrypted-flow metadata retained.
MQTTEEB-D_flow_10s,audited_metadata_main,broker,broker_audited_metadata_main,ok,data/processed/MQTTEEB-D_flow_10s__view__broker_audited_metadata_main.parquet,15,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness"", ""mixed_label_ratio""]","[""binary_label"", ""multiclass_label""]","[""window_seconds""]",[],Main policy: hard leakage and sensitive content removed; legitimate encrypted-flow metadata retained.
MQTTEEB-D_flow_10s,audited_metadata_main,strict,strict_audited_metadata_main,ok,data/processed/MQTTEEB-D_flow_10s__view__strict_audited_metadata_main.parquet,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]","[""binary_label"", ""multiclass_label""]","[""window_seconds""]",[],Main policy: hard leakage and sensitive content removed; legitimate encrypted-flow metadata retained.
MQTTEEB-D_flow_10s,conservative_anti_leakage,full,full_conservative_anti_leakage,ok,data/processed/MQTTEEB-D_flow_10s__view__full_conservative_anti_leakage.parquet,15,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness"", ""mixed_label_ratio""]","[""binary_label"", ""multiclass_label""]","[""window_seconds""]",[],Sensitivity policy: hard leakage removed plus single-feature Macro F1 > 0.90 metadata removed.
MQTTEEB-D_flow_10s,conservative_anti_leakage,broker,broker_conservative_anti_leakage,ok,data/processed/MQTTEEB-D_flow_10s__view__broker_conservative_anti_leakage.parquet,15,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness"", ""mixed_label_ratio""]","[""binary_label"", ""multiclass_label""]","[""window_seconds""]",[],Sensitivity policy: hard leakage removed plus single-feature Macro F1 > 0.90 metadata removed.
MQTTEEB-D_flow_10s,conservative_anti_leakage,strict,strict_conservative_anti_leakage,ok,data/processed/MQTTEEB-D_flow_10s__view__strict_conservative_anti_leakage.parquet,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]","[""binary_label"", ""multiclass_label""]","[""window_seconds""]",[],Sensitivity policy: hard leakage removed plus single-feature Macro F1 > 0.90 metadata removed.
MQTTEEB-D_flow_1s,audited_metadata_main,full,full_audited_metadata_main,ok,data/processed/MQTTEEB-D_flow_1s__view__full_audited_metadata_main.parquet,15,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness"", ""mixed_label_ratio""]","[""binary_label"", ""multiclass_label""]","[""window_seconds""]",[],Main policy: hard leakage and sensitive content removed; legitimate encrypted-flow metadata retained.
MQTTEEB-D_flow_1s,audited_metadata_main,broker,broker_audited_metadata_main,ok,data/processed/MQTTEEB-D_flow_1s__view__broker_audited_metadata_main.parquet,15,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness"", ""mixed_label_ratio""]","[""binary_label"", ""multiclass_label""]","[""window_seconds""]",[],Main policy: hard leakage and sensitive content removed; legitimate encrypted-flow metadata retained.
MQTTEEB-D_flow_1s,audited_metadata_main,strict,strict_audited_metadata_main,ok,data/processed/MQTTEEB-D_flow_1s__view__strict_audited_metadata_main.parquet,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]","[""binary_label"", ""multiclass_label""]","[""window_seconds""]",[],Main policy: hard leakage and sensitive content removed; legitimate encrypted-flow metadata retained.
MQTTEEB-D_flow_1s,conservative_anti_leakage,full,full_conservative_anti_leakage,ok,data/processed/MQTTEEB-D_flow_1s__view__full_conservative_anti_leakage.parquet,15,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness"", ""mixed_label_ratio""]","[""binary_label"", ""multiclass_label""]","[""window_seconds""]",[],Sensitivity policy: hard leakage removed plus single-feature Macro F1 > 0.90 metadata removed.
MQTTEEB-D_flow_1s,conservative_anti_leakage,broker,broker_conservative_anti_leakage,ok,data/processed/MQTTEEB-D_flow_1s__view__broker_conservative_anti_leakage.parquet,15,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness"", ""mixed_label_ratio""]","[""binary_label"", ""multiclass_label""]","[""window_seconds""]",[],Sensitivity policy: hard leakage removed plus single-feature Macro F1 > 0.90 metadata removed.
MQTTEEB-D_flow_1s,conservative_anti_leakage,strict,strict_conservative_anti_leakage,ok,data/processed/MQTTEEB-D_flow_1s__view__strict_conservative_anti_leakage.parquet,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]","[""binary_label"", ""multiclass_label""]","[""window_seconds""]",[],Sensitivity policy: hard leakage removed plus single-feature Macro F1 > 0.90 metadata removed.
MQTTEEB-D_flow_5s,audited_metadata_main,full,full_audited_metadata_main,ok,data/processed/MQTTEEB-D_flow_5s__view__full_audited_metadata_main.parquet,15,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness"", ""mixed_label_ratio""]","[""binary_label"", ""multiclass_label""]","[""window_seconds""]",[],Main policy: hard leakage and sensitive content removed; legitimate encrypted-flow metadata retained.
MQTTEEB-D_flow_5s,audited_metadata_main,broker,broker_audited_metadata_main,ok,data/processed/MQTTEEB-D_flow_5s__view__broker_audited_metadata_main.parquet,15,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness"", ""mixed_label_ratio""]","[""binary_label"", ""multiclass_label""]","[""window_seconds""]",[],Main policy: hard leakage and sensitive content removed; legitimate encrypted-flow metadata retained.
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,ok,data/processed/MQTTEEB-D_flow_5s__view__strict_audited_metadata_main.parquet,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]","[""binary_label"", ""multiclass_label""]","[""window_seconds""]",[],Main policy: hard leakage and sensitive content removed; legitimate encrypted-flow metadata retained.
MQTTEEB-D_flow_5s,conservative_anti_leakage,full,full_conservative_anti_leakage,ok,data/processed/MQTTEEB-D_flow_5s__view__full_conservative_anti_leakage.parquet,15,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness"", ""mixed_label_ratio""]","[""binary_label"", ""multiclass_label""]","[""window_seconds""]",[],Sensitivity policy: hard leakage removed plus single-feature Macro F1 > 0.90 metadata removed.
MQTTEEB-D_flow_5s,conservative_anti_leakage,broker,broker_conservative_anti_leakage,ok,data/processed/MQTTEEB-D_flow_5s__view__broker_conservative_anti_leakage.parquet,15,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness"", ""mixed_label_ratio""]","[""binary_label"", ""multiclass_label""]","[""window_seconds""]",[],Sensitivity policy: hard leakage removed plus single-feature Macro F1 > 0.90 metadata removed.
MQTTEEB-D_flow_5s,conservative_anti_leakage,strict,strict_conservative_anti_leakage,ok,data/processed/MQTTEEB-D_flow_5s__view__strict_conservative_anti_leakage.parquet,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]","[""binary_label"", ""multiclass_label""]","[""window_seconds""]",[],Sensitivity policy: hard leakage removed plus single-feature Macro F1 > 0.90 metadata removed.
